Date,Rate
2025-07-21,0.042168
2025-07-18,0.042174
2025-07-17,0.042175
2025-07-16,0.04217
2025-07-15,0.042172
2025-07-14,0.042171
2025-07-11,0.042172
2025-07-10,0.042175
2025-07-09,0.042169
2025-07-08,0.04217
2025-07-07,0.04217
2025-07-04,0.042173
2025-07-03,0.042173
2025-07-02,0.042171
2025-07-01,0.042176
2025-06-30,0.042171
2025-06-27,0.042172
2025-06-26,0.04217
2025-06-25,0.042172
2025-06-24,0.04217
2025-06-23,0.042166
2025-06-20,0.042164
2025-06-19,0.042169
2025-06-18,0.042163
2025-06-17,0.04216
2025-06-16,0.042148
2025-06-13,0.042127
2025-06-12,0.042126
2025-06-11,0.042129
2025-06-10,0.042126
2025-06-09,0.042128
2025-06-06,0.042118
2025-06-05,0.042119
2025-06-04,0.042111
2025-06-03,0.042112
2025-06-02,0.042112
2025-05-30,0.042111
2025-05-29,0.042107
2025-05-28,0.042104
2025-05-27,0.042107
2025-05-23,0.042108
2025-05-22,0.042114
2025-05-21,0.042115
2025-05-20,0.042108
2025-05-19,0.042109
2025-05-16,0.042106
2025-05-15,0.042111
2025-05-14,0.042108
2025-05-13,0.042106
2025-05-12,0.0421
2025-05-09,0.042103
2025-05-08,0.0421
2025-05-07,0.044601
2025-05-06,0.04459
2025-05-02,0.044594
2025-05-01,0.044586
2025-04-30,0.044592
2025-04-29,0.044592
2025-04-28,0.04459
2025-04-25,0.044591
2025-04-24,0.044592
2025-04-23,0.04459
2025-04-22,0.044593
2025-04-17,0.04459
2025-04-16,0.044585
2025-04-15,0.044585
2025-04-14,0.044582
2025-04-11,0.044584
2025-04-10,0.044579
2025-04-09,0.044565
2025-04-08,0.044565
2025-04-07,0.044561
2025-04-04,0.044554
2025-04-03,0.044553
2025-04-02,0.044549
2025-04-01,0.044555
2025-03-31,0.044554
2025-03-28,0.044558
2025-03-27,0.044556
2025-03-26,0.044572
2025-03-25,0.044568
2025-03-24,0.04457
2025-03-21,0.044563
2025-03-20,0.044562
2025-03-19,0.044558
2025-03-18,0.044548
2025-03-17,0.044544
2025-03-14,0.044549
2025-03-13,0.04455
2025-03-12,0.044545
2025-03-11,0.044546
2025-03-10,0.044547
2025-03-07,0.044548
2025-03-06,0.044557
2025-03-05,0.04455
2025-03-04,0.044551
2025-03-03,0.04455
2025-02-28,0.044552
2025-02-27,0.044547
2025-02-26,0.044547
2025-02-25,0.044547
2025-02-24,0.044545
2025-02-21,0.044549
2025-02-20,0.044543
2025-02-19,0.044543
2025-02-18,0.044542
2025-02-17,0.044541
2025-02-14,0.044543
2025-02-13,0.044544
2025-02-12,0.044539
2025-02-11,0.044541
2025-02-10,0.04454
2025-02-07,0.04454
2025-02-06,0.044544
2025-02-05,0.047045
2025-02-04,0.047049
2025-02-03,0.047042
2025-01-31,0.047037
2025-01-30,0.047008
2025-01-29,0.047006
2025-01-28,0.047
2025-01-27,0.047
2025-01-24,0.047
2025-01-23,0.047001
2025-01-22,0.047
2025-01-21,0.047
2025-01-20,0.047
2025-01-17,0.047
2025-01-16,0.047
2025-01-15,0.047001
2025-01-14,0.047
2025-01-13,0.047
2025-01-10,0.047
2025-01-09,0.047
2025-01-08,0.047
2025-01-07,0.047
2025-01-06,0.047
2025-01-03,0.047
2025-01-02,0.047
2024-12-31,0.047003
2024-12-30,0.047
2024-12-27,0.047
2024-12-24,0.047
2024-12-23,0.047
2024-12-20,0.047
2024-12-19,0.047
2024-12-18,0.047
2024-12-17,0.047
2024-12-16,0.047
2024-12-13,0.047
2024-12-12,0.047
2024-12-11,0.047
2024-12-10,0.047
2024-12-09,0.047
2024-12-06,0.047
2024-12-05,0.047
2024-12-04,0.047
2024-12-03,0.047
2024-12-02,0.047
2024-11-29,0.047
2024-11-28,0.047
2024-11-27,0.047
